geo,approx_lat,approx_long
"Comas, Peru",-11.92998,-77.053541
"Santa Helena de Goiás, Brasil",-17.811975,-50.598125
"Salto, Uruguay",-31.385499,-57.960079
"Centro de la Ciudad de México, Cuauhtémoc",19.430268,-99.137314
"Formosa, Argentina",-26.185777,-58.175567
"Planalto, Brasil",-23.699272,-46.570104
"Oaxaca, México",17.059417,-96.721622
"Paracambi, Brasil",-22.608306,-43.711255
"Peru",-9.189967,-75.015152
"Mexico",23.634501,-102.552784
"Pérola, Brasil",-23.802683,-53.679991
"Mercedes, Argentina",-34.65102,-59.4306
"Caxias do Sul, Brasil",-29.163403,-51.179668
"Araguaína, Brasil",-7.192773,-48.204827
"Salto, Brasil",-23.20008,-47.293538
"Oaxaca de Juárez, Oaxaca",17.059417,-96.721622
"Esmeraldas, Brasil",-19.807304,-44.181518
"Chubut, Argentina",-43.293425,-65.111482
"San Felipe Orizatlán, Hidalgo",21.16907,-98.613319
"Paulista, Brasil",-7.918455,-34.820956
"Sooretama, Brasil",-19.190248,-40.097699
"Mendiolaza, Argentina",-31.26667,-64.300011
"General Rodríguez, Argentina",-34.602089,-58.952129
"Casimiro de Abreu, Brasil",-22.483672,-42.201543
"Vazante, Brasil",-17.992507,-46.903465
"Araçatuba, Brasil",-21.202854,-50.453679
"Vassouras, Brasil",-22.407457,-43.661399
"Pirassununga, Brasil",-21.996465,-47.426194
"Rio Grande, Brasil",-32.035378,-52.10758
"Rio das Ostras, Brasil",-22.5273,-41.946394
"Águas de Lindóia, Brasil",-22.48036,-46.633882
"Jesús María, Aguascalientes",21.963396,-102.343524
"San Fernando, Argentina",-34.443062,-58.557964
"San Rafael, Argentina",-34.612892,-68.339062
"Dourados, Brasil",-22.223561,-54.812549
"Piracicaba, Brasil",-22.734286,-47.648064
"Jandira, Brasil",-23.528028,-46.902763
"Lençóis Paulista, Brasil",-22.603174,-48.804144
"San Juan, USA",26.189241,-98.155287
"Água Santa, Brasil",-28.202185,-52.04273
"San José, Uruguay",-34.339427,-56.71316
"Juiz de Fora, Brasil",-21.762424,-43.3434
"Assis Chateaubriand, Brasil",-24.406688,-53.514242
"Wanchaq, Peru",-13.534691,-71.949026
"Argentina",-38.416097,-63.616672
"Rafaela, Argentina",-31.252598,-61.491642
"Cuernavaca, Morelos",18.92421,-99.221566
"Tequisquiapan, Querétaro Arteaga",20.518733,-99.885059
"Las Condes, Chile",-33.408784,-70.567069
"Muaná, Brasil",-1.530472,-49.219168
"Hualpén, Chile",-36.786676,-73.109953
"São José, Brasil",-27.614079,-48.637086
"Pedro Leopoldo, Brasil",-19.6189,-44.040498
"Blumenau, Brasil",-26.916579,-49.071733
"Moreira Sales, Brasil",-24.044197,-53.006623
"Arcos, Brasil",-20.287773,-45.539695
"Botucatu, Brasil",-22.884181,-48.444165
"Chiclayo, Peru",-6.776597,-79.844298
"Açailândia, Brasil",-4.953936,-47.503077
"Ibitinga, Brasil",-21.756708,-48.832362
"Armação dos Búzios, Brasil",-22.756391,-41.889042
"Macaé, Brasil",-22.38367,-41.782746
"Bolívar, Venezuela",6.358522,-63.580611
"Ipatinga, Brasil",-19.470757,-42.548012
"Concepción, Chile",-36.820135,-73.04439
"Turvo, Brasil",-28.927804,-49.682035
"La Perla, Peru",-12.073738,-77.118441
"São José do Rio Pardo, Brasil",-21.59577,-46.887745
"Itaboraí, Brasil",-22.757002,-42.864317
"Santa Bárbara d'Oeste, Brasil",-22.755742,-47.414759
"Guaynabo, Puerto Rico",18.35745,-66.111
"Quito, Ecuador",-0.180653,-78.467838
"Ribeirão Preto, Brasil",-21.170401,-47.810324
"Coronel Oviedo, Paraguay",-25.400442,-56.449592
"Marcos Juárez, Argentina",-32.697856,-62.105798
"Toledo, Brasil",-24.725115,-53.741684
"San Cristóbal, Venezuela",7.771357,-72.226147
"Casilda, Argentina",-33.044522,-61.165021
"Valledupar, Colombia",10.474245,-73.243633
"Turabo, Puerto Rico",18.202454,-66.052301
"Lauro de Freitas, Brasil",-12.882057,-38.31482
"Cartagena, Colombia",10.391049,-75.479426
"Campo Mourão, Brasil",-24.043655,-52.37811
"Haiti",18.971187,-72.285215
"Ananindeua, Brasil",-1.364272,-48.374721
"Correntina, Brasil",-13.342554,-44.635723
"Osasco, Brasil",-23.532881,-46.792003
"Tuxtla Gutiérrez, Chiapas",16.751601,-93.102994
"Boa Vista, Brazil",2.82351,-60.675833
"Dzilam González, Yucatán",21.280177,-88.928846
"Pelotas, Brasil",-31.765399,-52.337589
"Carapicuíba, Brasil",-23.523962,-46.841124
"Tezoyuca, México",18.805051,-99.203902
"Chapala, Jalisco",20.305158,-103.184602
"Atizapán de Zaragoza, México",19.556228,-99.267471
"Manatí, Puerto Rico",18.433005,-66.475858
"Barbosa Ferraz, Brasil",-24.027401,-52.004841
"Boca del Río, Veracruz de Ignacio de la Llave",19.106273,-96.10632
"Linhares, Brasil",-19.394665,-40.065264
"Tantoyuca, Veracruz de Ignacio de la Llave",21.351062,-98.226766
"Marabá, Brasil",-5.381136,-49.133102
"Guarulhos, Brasil",-23.454315,-46.533652
"Pará de Minas, Brasil",-19.860014,-44.607532
"Grecia, Costa Rica",10.073946,-84.314757
"Esparza, Costa Rica",9.990692,-84.667374
"Vicente López, Argentina",-34.52812,-58.473816
"Barra do Jacaré, Brasil",-23.116521,-50.184636
"Ciudad Madero, Tamaulipas",22.247504,-97.848122
"Pilar, Argentina",-34.455906,-58.908329
"Zaragoza, El Salvador",13.586081,-89.291847
"Baixo Guandu, Brasil",-19.509787,-41.016559
"Ecatepec de Morelos, México",19.601841,-99.050674
"Divinópolis, Brasil",-20.145126,-44.891645
"Camocim de São Félix, Brasil",-8.361506,-35.763074
"Santo Antônio do Monte, Brasil",-20.085901,-45.29571
"Mauá, Brasil",-23.668163,-46.461709
"Navegantes, Brasil",-26.894792,-48.655069
"Jiutepec, Morelos",18.895487,-99.173294
"El Mante, Tamaulipas",22.522283,-98.791351
"Ijuí, Brasil",-28.388533,-53.920485
"Chajarí, Argentina",-30.757275,-57.991619
"Mongaguá, Brasil",-24.107525,-46.680192
"Acapulco de Juárez, Guerrero",16.853109,-99.823653
"Vespasiano, Brasil",-19.688806,-43.924312
"Martínez de la Torre, Veracruz de Ignacio de la Llave",20.061513,-97.054526
"Campana, Argentina",-34.163335,-58.959264
"Americana, Brasil",-22.737846,-47.333569
"Araruama, Brasil",-22.863619,-42.333631
"Sitionuevo, Colombia",10.77525,-74.71955
"Itaúna, Brasil",-20.082278,-44.580531
"Altamira, Brasil",-3.198666,-52.210401
"Londrina, Brasil",-23.304452,-51.169582
"Santa Luzia, Brasil",-19.7884,-43.940234
"La Piedad, Michoacán de Ocampo",20.330737,-102.044385
"Timóteo, Brasil",-19.581568,-42.647531
"Riacho de Santana, Brasil",-13.606387,-42.940066
"Tibau do Sul, Brasil",-6.186815,-35.091864
"Sidrolândia, Brasil",-20.930669,-54.969721
"Valparaíso, Chile",-33.047238,-71.612688
"Bombinhas, Brasil",-27.151724,-48.491222
"Riohacha, Colombia",11.538415,-72.916784
"Carolina, El Salvador",13.846237,-88.305706
"Pato Bragado, Brasil",-24.627921,-54.226207
"Acolman, México",19.642061,-98.910737
"Álvaro Obregón, Distrito Federal",19.360533,-99.226707
"Ushuaia, Argentina",-54.801912,-68.302951
"Altamira, Tamaulipas",22.407746,-97.921155
"Itajubá, Brasil",-22.422971,-45.460251
"Sant'Ana do Livramento, Brasil",-30.877285,-55.53923
"Diamantina, Brasil",-18.247454,-43.601213
"Timbaúba, Brasil",-7.51203,-35.316864
"Itabira, Brasil",-19.624417,-43.231636
"Olímpia, Brasil",-20.737112,-48.911061
"Mendes, Brasil",-22.525473,-43.73121
"Mineral de la Reforma, Hidalgo",20.045819,-98.721176
"Sapucaia do Sul, Brasil",-29.828834,-51.144172
"Berisso, Argentina",-34.873067,-57.883717
"Várzea Grande, Brasil",-15.646248,-56.132713
"Santana, Brasil",-23.498181,-46.626331
"Calleria, Peru",-8.379287,-74.544864
"Santa Maria, Brasil",-29.687306,-53.815477
"Morona, Ecuador",-1.676788,-78.645378
"Caracas, Venezuela",10.480594,-66.903606
"Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave",20.527059,-97.462912
"Taubaté, Brasil",-23.020456,-45.556355
"Comodoro Rivadavia, Argentina",-45.865615,-67.482243
"Cuautla, Morelos",18.812605,-98.954826
"Santa Rosa, Brasil",-27.870682,-54.480156
"Paulínia, Brasil",-22.765015,-47.150027
"Domingos Martins, Brasil",-20.360797,-40.65981
"Barquisimeto, Venezuela",10.067772,-69.347351
"San Isidro, Argentina",-34.470829,-58.52861
"Jujuy, Argentina",-24.185786,-65.299477
"Sumidouro, Brasil",-22.048956,-42.676556
"Cachoeirinha, Brasil",-29.947723,-51.102117
"Caucaia, Brasil",-3.728144,-38.661921
"San Andrés de Giles, Argentina",-34.442976,-59.447247
"Queimados, Brasil",-22.710668,-43.552226
"Bucaramanga, Colombia",7.119349,-73.122742
"Orleans, Brasil",-28.358643,-49.28824
"Pimentel, Peru",-6.832479,-79.929616
"Godoy Cruz, Argentina",-32.913867,-68.850044
"Timbó, Brasil",-26.825137,-49.26952
"Rio do Sul, Brasil",-27.216093,-49.643502
"Goiatuba, Brasil",-18.012787,-49.366608
"Concórdia, Brasil",-27.23395,-52.026467
"Salsipuedes, Argentina",-31.136896,-64.296433
"Sinop, Brasil",-11.860846,-55.509545
"Aurora, Brasil",-6.943107,-38.967505
"Cachoeira Paulista, Brasil",-22.6651,-45.011658
"Solidaridad, Quintana Roo",20.652303,-87.069627
"Monte Mor, Brasil",-22.94553,-47.312632
"Tianguá, Brasil",-3.730023,-40.992651
"Parnaíba, Brasil",-2.905545,-41.773363
"Juncos, USA",35.869449,-75.575157
"Ascurra, Brasil",-26.957609,-49.374835
"Dianópolis, Brasil",-11.624436,-46.820207
"Pirajuí, Brasil",-21.992932,-49.454704
"Cabo Rojo, USA",36.172195,-115.362572
"Mirassol, Brasil",-20.817346,-49.521071
"Sábalos, Puerto Rico",18.176588,-67.149327
"Salina Cruz, Oaxaca",16.184284,-95.208762
"Santo Antônio de Pádua, Brasil",-21.541532,-42.183559
"Coronel Fabriciano, Brasil",-19.518975,-42.628254
"Maldonado, Uruguay",-34.790552,-54.92077
"Villa de Álvarez, Colima",19.263763,-103.74609
"General San Martín, Argentina",-34.560506,-58.56581
"São José de Ribamar, Brasil",-2.550385,-44.070196
"Guanacaste, Costa Rica",10.62674,-85.443671
"Tafí Viejo, Argentina",-26.732479,-65.267029
"San isidro, Peru",-12.097183,-77.032585
"San Joaquín, Chile",-33.496202,-70.628336
"Caçapava, Brasil",-23.099696,-45.708082
"Trindade, Brasil",-16.65216,-49.493117
"Imbituba, Brasil",-28.227627,-48.669129
"Florencio Varela, Argentina",-34.796581,-58.276012
"Bonao, Dominican Republic",18.933033,-70.408481
"Carmen, Campeche",18.652712,-91.807514
"São Lourenço do Sul, Brasil",-31.36285,-51.981768
"General Pico, Argentina",-35.659324,-63.757789
"Galapagos, Ecuador",-0.953769,-90.965602
"Aracaju, Brazil",-10.947247,-37.073082
"Tabasco, México",17.840917,-92.618927
"José Azueta, Guerrero",17.647424,-101.54555
"Xalapa, Veracruz de Ignacio de la Llave",19.543775,-96.910181
"Guadeloupe",16.265,-61.551
"Agua Dulce, Veracruz de Ignacio de la Llave",18.142594,-94.143603
"Curaçao",12.16957,-68.99002
"Valle del Cauca, Colombia",3.800889,-76.641271
"Ensenada, Argentina",-34.864823,-57.908519
"Puerto Salgar, Colombia",5.467414,-74.652693
"Naucalpan de Juárez, México",19.463084,-99.245302
"Rio Paranaíba, Brasil",-19.198995,-46.236003
"Miraflores, Peru",-12.111062,-77.031591
"Jalpa de Méndez, Tabasco",18.174799,-93.070142
"Trujillo, Venezuela",9.35645,-70.43724
"Ocoyoacac, México",19.27248,-99.461553
"San Rafael del Yuma, Dominican Republic",18.429661,-68.675255
"São João, Brasil",-8.875221,-36.366189
"Seropédica, Brasil",-22.75308,-43.715901
"Campeche, México",19.830125,-90.534909
"Motul, Yucatán",21.098173,-89.279976
"La Reina, Chile",-33.441127,-70.534059
"Miranda, Venezuela",10.25093,-66.42715
"Mandaguari, Brasil",-23.516986,-51.687206
"Farroupilha, Brasil",-29.223187,-51.342362
"Maiquinique, Brasil",-15.622055,-40.264832
"Diadema, Brasil",-23.68184,-46.620967
"Jacareí, Brasil",-23.298783,-45.966254
"Rawson, Argentina",-43.299858,-65.099487
"Holambra, Brasil",-22.641,-47.049141
"Armería, Colima",18.981509,-104.092218
"Uruguaiana, Brasil",-29.761912,-57.085843
"Necochea, Argentina",-38.554497,-58.739609
"Araporã, Brasil",-18.436188,-49.185198
"Trinidad and Tobago",10.691803,-61.222503
"Banda, Argentina",-34.833987,-58.64707
"Itapevi, Brasil",-23.549265,-46.933196
"Antigua and Barbuda",17.060816,-61.796428
"Pihuamo, Jalisco",19.253737,-103.379602
"Muriaé, Brasil",-21.12914,-42.370225
"Campina Grande, Brasil",-7.229075,-35.880834
"Rimac, Peru",-12.027121,-77.036238
"Juchipila, Zacatecas",21.412102,-103.117544
"Araranguá, Brasil",-28.936119,-49.492301
"La Victoria, Venezuela",10.218625,-67.326501
"Rocha, Uruguay",-34.479014,-54.3353
"Huixquilucan, México",19.362165,-99.346499
"El Vigía, Venezuela",8.614427,-71.655469
"Alto Araguaia, Brasil",-17.31577,-53.218604
"Chillán, Chile",-36.606262,-72.102335
"Carolina, USA",38.174933,-86.718687
"Quilmes, Argentina",-34.720634,-58.254605
"Valinhos, Brasil",-22.970293,-46.997815
"Ponta Grossa, Brasil",-25.099425,-50.158322
"Iquitos, Peru",-3.743673,-73.251633
"Iguape, Brasil",-24.706975,-47.557453
"Candeias do Jamari, Brasil",-8.809846,-63.69655
"Zimapán, Hidalgo",20.738604,-99.381184
"León, Guanajuato",21.125008,-101.68596
"Eldorado, Brasil",-19.942234,-44.041335
"Votorantim, Brasil",-23.540286,-47.444598
"Maracaibo, Venezuela",10.654451,-71.714795
"Villa Gobernador Gálvez, Argentina",-33.02552,-60.633761
"Manzanillo, Colima",19.113809,-104.338462
"Colón, Argentina",-32.224933,-58.144714
"Santiago, Chile",-33.43783,-70.650449
"Venustiano Carranza, Distrito Federal",19.430607,-99.09499
"Rio Negrinho, Brasil",-26.249903,-49.518067
"Caraballeda, Venezuela",10.61354,-66.849888
"Plano Piloto de Brasília, Brasília",-15.793595,-47.882521
"São Leopoldo, Brasil",-29.754994,-51.150283
"Paracatu, Brasil",-17.217456,-46.872306
"Lagunillas, Venezuela",10.126545,-71.245844
"Santa Terezinha de Itaipu, Brasil",-25.445267,-54.401319
"Barranco, Peru",-12.143727,-77.019023