"Labels","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","country"
"Presidente Hayes",2,27,10,6,10,34,7,3,4,3,2,0,1,4,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"Paraguay"
"Concepción",12,27,10,10,7,5,7,4,5,4,6,4,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,2,0,0,1,"Paraguay"
"Cordillera",2,9,6,10,7,14,9,9,5,5,5,2,5,1,5,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,3,"Paraguay"
"Paraguarí",0,11,4,1,11,15,12,4,0,4,3,1,5,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,0,0,0,0,1,0,2,0,1,0,0,2,"Paraguay"
"Caazapá",7,4,5,7,9,4,8,4,2,4,7,3,6,3,1,0,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,"Paraguay"
"San Pedro",9,16,6,5,3,9,9,3,2,3,0,1,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,1,2,1,0,"Paraguay"
"Canindeyú",0,1,2,4,3,8,0,2,3,1,3,2,2,4,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,"Paraguay"
"Boquerón",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paraguay"
"Alto Paraguay",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paraguay"
"Lima Province",272,391,479,676,715,428,230,325,354,170,452,143,176,204,215,169,212,217,299,163,156,94,62,77,124,114,154,90,54,43,87,129,177,255,166,47,33,34,39,48,46,57,133,97,35,36,164,"Peru"
"La Libertad",6,15,34,61,64,23,28,16,19,11,24,7,15,15,27,10,11,11,12,8,9,3,7,7,3,5,2,2,2,5,5,5,9,46,11,17,3,0,2,2,1,3,2,3,0,7,3,"Peru"
"Piura",4,4,24,19,21,27,32,20,14,7,13,14,20,24,27,21,16,10,28,11,19,10,2,2,9,5,5,12,1,3,25,13,7,7,3,0,0,0,0,0,4,2,9,4,3,6,7,"Peru"
"Lima",14,4,18,12,14,12,7,12,10,11,17,14,23,18,26,24,3,4,5,3,10,3,5,3,4,1,6,0,5,3,2,1,4,10,3,2,2,4,4,2,3,4,3,3,10,8,4,"Peru"
"Ayacucho",7,3,13,12,16,13,23,11,6,8,7,9,4,8,7,5,5,5,3,1,6,3,5,6,6,0,0,2,0,1,0,3,0,1,3,0,1,13,0,0,0,2,0,2,1,2,2,"Peru"
"Arequipa",5,5,5,7,13,11,1,1,11,7,10,7,8,10,14,11,4,1,2,2,2,1,1,2,1,0,1,0,1,1,0,1,4,6,1,0,1,0,1,0,3,1,2,1,0,4,1,"Peru"
"Ucayali",12,30,10,4,13,8,2,5,0,1,1,1,6,2,4,0,5,0,2,2,0,2,1,1,2,1,0,0,0,0,0,3,1,1,1,1,0,1,1,4,2,1,1,4,3,6,6,"Peru"
"Junín",52,19,0,6,4,3,4,3,1,0,3,0,2,0,0,3,3,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Ancash",3,11,11,9,11,5,1,1,2,2,1,8,6,10,4,2,4,3,8,0,2,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Peru"
"Lambayeque",1,4,6,3,9,3,1,11,11,2,4,4,3,3,1,2,1,1,2,3,1,0,2,2,0,0,1,0,1,0,1,0,2,2,1,0,1,0,0,1,1,2,1,0,0,0,0,"Peru"
"Callao",1,4,11,9,7,2,3,6,2,4,2,1,4,4,0,1,0,0,1,1,2,0,2,1,3,1,1,2,0,3,2,0,2,4,1,0,0,0,1,1,0,1,0,0,1,0,0,"Peru"
"Callao",1,4,11,9,7,2,3,6,2,4,2,1,4,4,0,1,0,0,1,1,2,0,2,1,3,1,1,2,0,3,2,0,2,4,1,0,0,0,1,1,0,1,0,0,1,0,0,"Peru"
"Loreto",2,4,5,4,2,1,1,2,4,1,1,3,2,2,3,3,2,1,3,1,1,0,0,4,2,1,1,3,2,0,2,0,2,2,2,1,1,0,1,1,1,1,0,1,1,0,1,"Peru"
"San Martín",1,2,3,1,3,2,2,4,4,6,2,8,0,0,2,4,3,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,1,"Peru"
"Cajamarca",4,0,3,4,4,2,0,0,1,2,3,1,1,0,3,0,1,0,0,0,1,0,1,1,2,3,4,3,0,2,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,2,"Peru"
"Madre de Dios",1,5,17,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Peru"
"Cusco",6,2,0,3,1,0,3,3,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Peru"
"Huánuco",0,0,0,1,2,2,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,"Peru"
"Tumbes",0,0,4,1,2,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Ica",0,0,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Huancavelica",1,2,1,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Tacna",0,0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Amazonas",0,0,0,0,0,0,1,0,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Moquegua",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Apurímac",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Pasco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peru"
"Paramaribo",0,0,2,1,4,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,"Suriname"
"Wanica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Sipaliwini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Saramacca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Para",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Nickerie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Marowijne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Coronie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Commewijne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Brokopondo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suriname"
"Montevideo",297,544,441,761,699,3563,3929,9243,1974,1196,806,514,565,437,412,185,287,80,40,34,157,34,54,95,27,79,19,56,15,21,38,18,93,27,21,7,21,18,24,16,17,230,106,95,35,30,73,"Uruguay"
"Canelones",7,15,20,29,34,138,309,622,174,121,81,47,57,21,24,9,23,6,4,1,9,3,2,4,3,3,3,3,4,4,3,0,1,5,1,0,0,3,4,1,1,11,4,5,2,0,8,"Uruguay"
"Maldonado",7,12,12,14,17,84,106,226,98,40,25,29,16,17,26,11,20,0,4,4,3,1,4,6,0,1,0,1,0,1,0,1,2,1,0,2,1,2,8,1,4,7,9,2,0,3,1,"Uruguay"
"Salto",15,42,50,30,25,73,70,279,54,33,25,14,9,10,11,7,13,2,2,3,4,1,4,3,2,1,2,1,2,0,2,1,6,0,0,0,2,1,4,1,0,6,2,2,3,0,3,"Uruguay"
"Lavalleja",19,13,37,50,40,53,44,68,35,34,51,20,23,41,49,22,20,13,4,10,7,1,6,2,2,1,2,2,5,8,14,7,4,2,1,5,2,0,4,2,3,1,1,1,6,2,0,"Uruguay"
"Tacuarembó",5,11,2,5,4,44,37,144,22,20,33,10,16,9,5,2,3,0,1,3,3,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,5,2,3,1,1,0,0,0,"Uruguay"
"Paysandú",4,8,7,12,12,39,36,133,38,14,15,9,7,4,5,1,6,2,2,0,4,0,0,0,0,0,4,1,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,2,1,0,0,"Uruguay"
"Durazno",1,3,2,1,4,21,35,136,35,23,13,5,15,3,2,1,5,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Uruguay"
"Colonia",2,6,9,10,12,37,25,79,24,13,11,4,9,3,5,4,2,0,4,3,2,3,1,4,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,0,"Uruguay"
"Río Negro",0,0,1,5,8,20,18,95,17,16,19,4,5,3,2,2,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,2,1,2,1,0,0,1,"Uruguay"
"Artigas",0,0,1,3,1,9,12,68,32,22,15,9,6,4,8,5,5,2,0,2,2,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,"Uruguay"
"Rocha",2,3,3,7,3,9,16,60,34,9,13,9,9,3,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,"Uruguay"
"Flores",0,0,3,6,5,6,11,99,5,5,6,1,4,0,2,2,0,0,2,11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,"Uruguay"
"Rivera",1,7,0,6,5,16,11,29,20,19,9,6,11,5,2,3,3,6,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,3,0,0,1,0,3,0,0,0,0,2,1,1,0,"Uruguay"
"Soriano",4,4,2,2,4,11,15,55,14,7,4,5,4,1,3,0,2,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"Uruguay"
"Treinta y Tres",0,3,0,1,2,6,4,88,9,7,3,2,5,1,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Uruguay"
"Cerro Largo",5,0,2,3,1,11,14,51,9,4,9,9,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,1,2,2,2,0,0,0,"Uruguay"
"San José",0,1,0,0,0,2,3,30,6,3,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uruguay"
"Florida",1,0,1,1,0,1,1,6,1,2,0,0,0,0,2,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,"Uruguay"
"Distrito Capital",4955,6190,7276,9655,8448,5656,3179,2866,2498,1342,2271,1526,1056,1418,2001,1044,791,826,587,706,819,455,565,1546,786,540,392,477,505,764,1004,356,444,1573,561,678,473,170,414,877,386,707,556,240,258,620,1060,"Venezuela"
"Aragua",587,1459,1204,2063,2052,1166,1444,947,1060,122,353,53,352,802,101,67,49,111,72,173,29,225,283,492,197,42,34,44,88,162,43,64,196,444,68,236,181,22,19,74,46,118,81,18,24,263,152,"Venezuela"
"Carabobo",330,500,406,811,949,574,244,168,149,97,287,102,54,32,73,55,28,30,15,17,44,24,47,39,120,34,14,96,17,31,35,13,23,193,18,17,14,21,6,41,7,19,12,2,1,13,327,"Venezuela"
"Zulia",163,486,559,465,373,233,226,204,151,38,126,50,97,129,97,31,21,19,19,10,14,8,23,36,22,23,10,18,10,27,34,9,7,95,16,34,24,27,11,32,16,70,42,8,23,32,34,"Venezuela"
"Lara",128,206,271,415,308,255,162,158,129,74,111,67,77,112,196,56,59,54,54,43,36,63,30,45,37,50,57,30,38,46,43,33,25,95,45,39,33,14,15,35,26,11,32,3,33,60,63,"Venezuela"
"Táchira",81,103,149,176,438,333,263,264,181,185,140,71,112,104,100,100,68,43,58,29,30,21,30,78,78,32,111,34,24,3,20,28,20,37,28,28,21,14,9,19,2,9,12,0,6,7,3,"Venezuela"
"Guárico",25,76,36,156,117,101,82,168,17,7,120,2,180,420,313,489,2,3,11,324,2,69,105,99,17,6,10,1,0,8,2,0,25,41,3,5,21,0,1,2,0,2,12,1,1,0,5,"Venezuela"
"Barinas",32,41,95,264,288,164,81,86,31,44,79,284,52,40,30,11,14,17,13,6,12,8,19,44,32,30,4,11,6,17,21,12,13,55,58,30,7,4,1,15,1,2,0,1,2,0,4,"Venezuela"
"Monagas",43,44,40,127,226,221,98,34,44,10,47,12,16,23,39,25,9,12,24,31,37,53,32,29,25,18,7,12,0,23,10,3,3,35,4,15,18,4,5,8,1,2,26,0,2,4,5,"Venezuela"
"Bolívar",82,73,73,96,206,329,52,66,69,42,32,16,12,10,15,6,4,11,1,1,2,4,9,18,15,7,8,11,3,10,11,5,7,22,6,7,6,3,6,13,7,3,6,14,3,10,7,"Venezuela"
"Anzoátegui",71,47,86,159,190,134,49,43,53,26,52,27,17,28,26,9,12,20,22,9,15,4,13,24,15,6,3,8,17,16,14,8,12,37,12,12,11,10,11,17,9,3,7,4,3,2,5,"Venezuela"
"Miranda",70,62,77,127,161,108,52,68,43,26,39,10,15,59,53,29,8,8,10,4,12,7,8,13,20,4,2,6,6,4,5,3,6,26,5,0,4,1,2,6,5,3,2,4,1,2,7,"Venezuela"
"Falcón",41,74,90,144,148,56,40,38,45,35,38,10,9,9,17,9,3,9,5,3,4,3,1,9,4,5,5,3,2,7,4,4,1,12,10,12,3,0,2,8,5,3,3,3,3,1,2,"Venezuela"
"Vargas",25,16,82,75,63,26,33,9,16,8,7,8,6,2,11,10,4,12,6,1,4,6,8,3,5,3,0,70,47,0,3,3,1,14,2,1,0,27,1,5,0,14,3,1,2,0,2,"Venezuela"
"Cojedes",9,23,19,66,118,45,51,29,18,8,32,2,13,14,13,2,2,5,7,7,2,9,1,1,9,6,1,14,21,7,4,1,19,12,1,7,1,1,2,10,1,3,7,6,1,1,6,"Venezuela"
"Mérida",62,104,130,36,31,13,14,25,6,3,9,21,3,1,1,5,1,4,1,21,6,4,1,8,5,3,0,4,1,1,1,5,4,3,0,6,12,9,7,21,5,14,5,4,0,1,4,"Venezuela"
"Yaracuy",14,9,12,106,77,67,59,34,9,4,8,4,4,3,10,2,0,1,3,0,3,2,5,1,4,4,1,0,0,0,0,0,1,30,11,1,2,0,2,7,0,2,4,0,1,0,0,"Venezuela"
"Trujillo",14,14,21,65,51,15,23,20,13,5,5,5,9,3,13,6,0,6,12,5,19,5,4,4,8,9,6,8,4,5,3,3,5,23,2,3,6,2,0,2,4,1,7,4,1,2,3,"Venezuela"
"Portuguesa",14,32,22,99,51,28,20,12,14,6,14,3,4,1,22,3,2,2,2,0,7,1,1,3,6,8,0,2,11,6,3,3,0,12,3,4,1,1,1,5,0,3,5,1,0,1,2,"Venezuela"
"Nueva Esparta",15,21,22,51,78,29,26,28,10,5,11,2,8,5,6,0,13,4,4,3,3,0,2,1,4,2,1,0,1,5,1,3,2,8,4,12,7,1,5,1,1,2,4,0,3,7,11,"Venezuela"
"Sucre",6,10,15,21,17,13,2,9,5,2,6,4,3,3,3,6,3,7,3,1,3,3,3,4,4,4,5,22,5,1,3,8,14,22,9,10,10,6,5,7,5,2,7,11,8,5,5,"Venezuela"
"Apure",4,3,9,19,57,18,11,8,9,8,13,1,2,4,13,7,11,6,2,1,1,1,8,5,12,4,4,2,0,1,1,2,0,0,0,1,1,0,3,4,0,0,4,0,0,1,0,"Venezuela"
"Amazonas",0,1,2,4,5,2,1,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,7,6,3,1,0,0,0,0,0,5,0,0,0,0,"Venezuela"
"Delta Amacuro",2,2,5,3,4,0,0,4,1,1,5,1,4,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Venezuela"
"Dependencias Federales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Venezuela"
